"product id = 20204: old price - 51.56, new price - 56.72"
"product id = 20203: old price - 70.22, new price - 77.24"
"product id = 20200: old price - 87.01, new price - 95.71000000000001"
"product id = 20199: old price - 38.12, new price - 41.93"
"product id = 20198: old price - 83.78, new price - 92.16"
"product id = 20197: old price - 97.33, new price - 107.06"
"product id = 20194: old price - 76.72, new price - 84.39"
"product id = 20193: old price - 98.83, new price - 108.71"
"product id = 20190: old price - 85.51, new price - 94.06"
"product id = 20189: old price - 35.58, new price - 39.14"
"product id = 20172: old price - 84.71, new price - 93.17999999999999"
"product id = 20171: old price - 62.12, new price - 68.33"
"product id = 20168: old price - 32.44, new price - 35.68"
"product id = 20167: old price - 90.4, new price - 99.44"
"product id = 20166: old price - 13.07, new price - 14.38"
"product id = 20165: old price - 75.82, new price - 83.39999999999999"
"product id = 20162: old price - 69.98, new price - 76.98"
"product id = 20161: old price - 36.42, new price - 40.06"
"product id = 20158: old price - 94.98, new price - 104.48"
"product id = 20157: old price - 43.18, new price - 47.5"
"product id = 20143: old price - 10.00, new price - 11.0"
"product id = 20131: old price - 10.00, new price - 11.0"
"product id = 20130: old price - 82.83, new price - 91.11"
"product id = 20129: old price - 10.00, new price - 11.0"
"product id = 20128: old price - 10.00, new price - 11.0"
"product id = 20127: old price - 90.30, new price - 99.33"
"product id = 20126: old price - 10.00, new price - 11.0"
"product id = 20125: old price - 10.00, new price - 11.0"
"product id = 20124: old price - 10.00, new price - 11.0"
"product id = 20123: old price - 77.97, new price - 85.77"
"product id = 20122: old price - 10.00, new price - 11.0"
"product id = 20121: old price - 10.00, new price - 11.0"
"product id = 20120: old price - 10.00, new price - 11.0"
"product id = 20119: old price - 10.00, new price - 11.0"
"product id = 20118: old price - 10.00, new price - 11.0"
"product id = 20117: old price - 10.00, new price - 11.0"
"product id = 20116: old price - 10.00, new price - 11.0"
"product id = 20115: old price - 10.00, new price - 11.0"
"product id = 20114: old price - 10.00, new price - 11.0"
"product id = 20113: old price - 10.00, new price - 11.0"
"product id = 20112: old price - 10.00, new price - 11.0"
"product id = 20111: old price - 10.00, new price - 11.0"
"product id = 20110: old price - 10000000.00, new price - 11000000.0"
"product id = 20109: old price - 25.00, new price - 27.5"
"product id = 20108: old price - 25.00, new price - 27.5"
"product id = 20107: old price - 25.00, new price - 27.5"
"product id = 20106: old price - 25.00, new price - 27.5"
"product id = 20105: old price - 25.00, new price - 27.5"
"product id = 20104: old price - 25.00, new price - 27.5"
"product id = 20103: old price - 25.00, new price - 27.5"
"product id = 20102: old price - 25.00, new price - 27.5"
"product id = 20101: old price - 25.00, new price - 27.5"
"product id = 20100: old price - 25.00, new price - 27.5"
"product id = 20099: old price - 25.00, new price - 27.5"
"product id = 20098: old price - 25.00, new price - 27.5"
"product id = 20097: old price - 25.00, new price - 27.5"
"product id = 20096: old price - 25.00, new price - 27.5"
"product id = 20095: old price - 25.00, new price - 27.5"
"product id = 20094: old price - 25.00, new price - 27.5"
"product id = 20093: old price - 25.00, new price - 27.5"
"product id = 20092: old price - 24.10, new price - 26.51"
"product id = 20091: old price - 25.00, new price - 27.5"
"product id = 20090: old price - 25.00, new price - 27.5"
"product id = 20089: old price - 25.00, new price - 27.5"
"product id = 20088: old price - 25.00, new price - 27.5"
"product id = 20087: old price - 25.00, new price - 27.5"
"product id = 20086: old price - 25.00, new price - 27.5"
"product id = 20085: old price - 25.00, new price - 27.5"
"product id = 20084: old price - 25.00, new price - 27.5"
"product id = 20083: old price - 25.00, new price - 27.5"
"product id = 20082: old price - 25.00, new price - 27.5"
"product id = 20081: old price - 25.00, new price - 27.5"
"product id = 20080: old price - 25.00, new price - 27.5"
"product id = 14: old price - 45, new price - 49.5"
"product id = 16: old price - 88.59, new price - 97.45"
"product id = 17: old price - 65, new price - 71.5"
"product id = 18: old price - 18, new price - 19.8"
"product id = 19: old price - 78.25, new price - 86.08"
"product id = 20: old price - 45, new price - 49.5"
"product id = 21: old price - 89.57, new price - 98.53"
"product id = 22: old price - 63.78, new price - 70.16"
"product id = 23: old price - 48.62, new price - 53.48"
"product id = 24: old price - 15, new price - 16.5"
"product id = 25: old price - 3, new price - 3.3"
"product id = 32: old price - 18, new price - 19.8"
"product id = 33: old price - 20, new price - 22.0"
